"","raw_char","weighted_sum"
"1","Lenny Leonard",0.683168316831683
"2","Marge Simpson",0.652880196644224
"3","Milhouse Van Houten",0.647475642161205
"4","Barney Gumble",0.64367816091954
"5","Edna Krabappel-Flanders",0.628731343283582
"6","Ned Flanders",0.627314814814815
"7","Announcer",0.581395348837209
"8","Carl Carlson",0.580750407830343
"9","Selma Bouvier",0.580474934036939
"10","C. Montgomery Burns",0.513737173121483
"11","Gary Chalmers",0.502525252525252
"12","Seymour Skinner",0.496793290577208
"13","Homer Simpson",0.495378679109835
"14","Lisa Simpson",0.483510776421709
"15","Moe Szyslak",0.472919937205652
"16","Comic Book Guy",0.469525959367946
"17","Krusty the Clown",0.444936708860759
"18","Apu Nahasapeemapetilon",0.428872497365648
"19","Professor Jonathan Frink",0.423940149625935
"20","Rev. Timothy Lovejoy",0.421267893660532
"21","Waylon Smithers",0.359084406294707
"22","Bart Simpson",0.334375348889137
"23","Mayor Joe Quimby",0.282565130260521
"24","Nelson Muntz",0.23030303030303
"25","Groundskeeper Willie",0.164383561643836
"26","Grampa Simpson",0.15471965933286
"27","Sideshow Bob",0.137630662020906
"28","Chief Wiggum",0.10125786163522
"29","Kent Brockman",0.0674846625766871
"30","Dr. Julius Hibbert",-0.0502354788069074
